City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Vaini,TO,73.56,moderate rain,-21.2,-175.2,Keleti International Resort
3,Cape Town,ZA,72.37,clear sky,-33.9258,18.4232,Townhouse Hotel
4,Arraial Do Cabo,BR,75.18,overcast clouds,-22.9661,-42.0278,No hotel found
8,Yokadouma,CM,75.45,overcast clouds,3.5167,15.05,No hotel found
9,Vaitape,PF,78.93,overcast clouds,-16.5167,-151.75,Oa Oa Lodge
11,Bambous Virieux,MU,83.21,scattered clouds,-20.3428,57.7575,No hotel found
15,Nuevo Progreso,MX,72.54,broken clouds,23.1667,-97.95,No hotel found
18,Boda,CF,74.88,overcast clouds,4.3189,17.4695,No hotel found
19,Bredasdorp,ZA,76.84,clear sky,-34.5322,20.0403,Victoria Hotel
20,Jizan,SA,83.34,clear sky,17.3333,42.6667,No hotel found
23,Hermanus,ZA,74.8,clear sky,-34.4187,19.2345,Aloe guest house
25,Kapaa,US,75.52,light rain,22.0752,-159.319,Pono Kai Resort
27,Rikitea,PF,75.24,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
33,Busselton,AU,78.76,broken clouds,-33.65,115.3333,No hotel found
40,Bentiu,SS,85.86,clear sky,9.2333,29.8333,No hotel found
42,Namatanai,PG,82.44,light rain,-3.6667,152.4333,Namatanai Hotel
43,Port Alfred,ZA,77.45,overcast clouds,-33.5906,26.891,No hotel found
44,Tulsipur,NP,74.75,clear sky,28.131,82.2973,Ekanta Hotel
45,The Valley,AI,76.1,scattered clouds,18.217,-63.0578,CeBlue
51,Cabo San Lucas,MX,71.51,broken clouds,22.8909,-109.9124,Comfort Rooms
52,Coxim,BR,76.3,overcast clouds,-18.5067,-54.76,Avendita
53,Mabaruma,GY,70.38,scattered clouds,8.2,-59.7833,Monty Brooms Hotel
57,Yanam,IN,84.24,scattered clouds,16.7333,82.2167,No hotel found
60,Linden,GY,71.04,overcast clouds,6.0,-58.3,Watooka Guest House
61,Hilo,US,73.27,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
63,Caraguatatuba,BR,74.66,light rain,-23.6338,-45.4899,No hotel found
64,Uvira,CD,75.56,light rain,-3.4067,29.1458,Batiment Kasangala
70,Cayenne,GF,73.44,scattered clouds,4.9333,-52.3333,Central Hôtel
74,Bara,NG,70.81,few clouds,10.3744,10.7288,No hotel found
75,Vila Do Maio,CV,75.99,clear sky,15.1333,-23.2167,Residencial Jardins De Maio
79,Takoradi,GH,77.95,light rain,4.8845,-1.7554,Hillcrest
81,Bure,ET,71.28,clear sky,10.7,37.0667,belay zeleke hotel
84,Dicabisagan,PH,77.54,overcast clouds,17.0818,122.4157,No hotel found
85,Sao Joao Da Barra,BR,72.43,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
88,Butaritari,KI,81.5,light rain,3.0707,172.7902,No hotel found
89,Muncar,ID,86.09,broken clouds,-8.4333,114.3333,No hotel found
90,Myitkyina,MM,82.2,clear sky,25.3833,97.4,New Light Hotel
98,Ponta Do Sol,PT,75.0,moderate rain,32.6667,-17.1,Estalagem Ponta do Sol
101,Hithadhoo,MV,81.79,overcast clouds,-0.6,73.0833,Pebbles Inn
104,Mandera,KE,85.23,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
