City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Vaini,TO,-21.2,-175.2,73.56,94,100,10.36,moderate rain
1,Barrow,US,71.2906,-156.7887,6.82,78,100,16.11,overcast clouds
2,Aklavik,CA,68.2191,-135.0107,-0.26,98,100,0.85,light snow
3,Cape Town,ZA,-33.9258,18.4232,72.37,79,9,7.0,clear sky
4,Arraial Do Cabo,BR,-22.9661,-42.0278,75.18,86,100,3.69,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,42.46,87,0,5.75,light rain
6,Broome,US,42.2506,-75.833,17.02,88,0,9.22,clear sky
7,Lakeside,US,30.13,-81.7682,64.45,85,75,10.36,broken clouds
8,Yokadouma,CM,3.5167,15.05,75.45,58,100,2.68,overcast clouds
9,Vaitape,PF,-16.5167,-151.75,78.93,73,100,18.7,overcast clouds
10,Hobart,AU,-42.8794,147.3294,51.26,93,100,13.8,moderate rain
11,Bambous Virieux,MU,-20.3428,57.7575,83.21,65,40,11.5,scattered clouds
12,Mar Del Plata,AR,-38.0023,-57.5575,56.12,81,0,5.75,clear sky
13,Sharkan,RU,57.2989,53.8712,10.58,89,12,9.08,few clouds
14,Puerto Ayora,EC,-0.7393,-90.3518,68.56,96,75,1.99,broken clouds
15,Nuevo Progreso,MX,23.1667,-97.95,72.54,77,76,1.01,broken clouds
16,Albany,US,42.6001,-73.9662,19.58,79,5,3.91,clear sky
17,Lillooet,CA,50.6856,-121.942,17.96,91,94,0.83,overcast clouds
18,Boda,CF,4.3189,17.4695,74.88,40,100,0.07,overcast clouds
19,Bredasdorp,ZA,-34.5322,20.0403,76.84,61,0,5.86,clear sky
20,Jizan,SA,17.3333,42.6667,83.34,65,1,4.27,clear sky
21,Malatya,TR,38.5,38.0,39.25,100,100,4.61,mist
22,Fukue,JP,32.6881,128.8419,53.96,54,75,9.22,broken clouds
23,Hermanus,ZA,-34.4187,19.2345,74.8,77,0,6.29,clear sky
24,Tasiilaq,GL,65.6145,-37.6368,26.76,73,12,6.04,few clouds
25,Kapaa,US,22.0752,-159.319,75.52,86,40,21.85,light rain
26,Iqaluit,CA,63.7506,-68.5145,6.53,84,75,3.44,broken clouds
27,Rikitea,PF,-23.1203,-134.9692,75.24,80,4,23.26,clear sky
28,Codrington,AU,-38.2667,141.9667,54.57,57,91,24.81,overcast clouds
29,Saint George,US,37.1041,-113.5841,36.19,84,75,4.0,broken clouds
30,Ixtapa,MX,20.7,-105.2,65.59,72,7,2.89,clear sky
31,Mataura,NZ,-46.1927,168.8643,63.48,61,100,5.26,overcast clouds
32,Filadelfia,US,39.9523,-75.1638,31.05,78,0,11.5,clear sky
33,Busselton,AU,-33.65,115.3333,78.76,36,62,5.14,broken clouds
34,Qaanaaq,GL,77.484,-69.3632,0.34,67,100,4.88,overcast clouds
35,Ostrovnoy,RU,68.0531,39.5131,20.28,81,100,17.9,overcast clouds
36,North Bend,US,43.4065,-124.2243,38.91,99,100,8.05,overcast clouds
37,Jamestown,US,42.097,-79.2353,26.02,67,100,5.99,overcast clouds
38,Punta Arenas,CL,-53.15,-70.9167,44.71,76,20,35.68,few clouds
39,Leningradskiy,RU,69.3833,178.4167,-5.01,75,100,27.2,overcast clouds
40,Bentiu,SS,9.2333,29.8333,85.86,15,0,7.31,clear sky
41,Pisco,PE,-13.7,-76.2167,69.85,88,100,4.61,mist
42,Namatanai,PG,-3.6667,152.4333,82.44,77,98,5.3,light rain
43,Port Alfred,ZA,-33.5906,26.891,77.45,74,100,21.03,overcast clouds
44,Tulsipur,NP,28.131,82.2973,74.75,24,0,5.32,clear sky
45,The Valley,AI,18.217,-63.0578,76.1,59,28,4.5,scattered clouds
46,Nanyuki,KE,0.0167,37.0728,65.25,69,77,3.27,light rain
47,Coquimbo,CL,-29.9533,-71.3436,60.53,94,0,4.61,clear sky
48,Thompson,CA,55.7435,-97.8558,24.96,93,100,3.44,light snow
49,Talnakh,RU,69.4865,88.3972,-14.8,96,100,10.18,overcast clouds
50,Ilulissat,GL,69.2167,-51.1,0.3,74,100,5.5,overcast clouds
51,Cabo San Lucas,MX,22.8909,-109.9124,71.51,70,61,1.01,broken clouds
52,Coxim,BR,-18.5067,-54.76,76.3,67,97,2.64,overcast clouds
53,Mabaruma,GY,8.2,-59.7833,70.38,100,48,1.54,scattered clouds
54,New Norfolk,AU,-42.7826,147.0587,51.93,73,100,1.01,light rain
55,Autun,FR,46.95,4.3,25.45,67,100,2.66,overcast clouds
56,Ornskoldsvik,SE,63.2909,18.7153,11.35,79,0,14.97,clear sky
57,Yanam,IN,16.7333,82.2167,84.24,64,43,6.85,scattered clouds
58,Ipora,BR,-16.4419,-51.1178,68.86,90,100,1.41,overcast clouds
59,Sabha,LY,27.0377,14.4283,65.1,39,0,3.94,clear sky
60,Linden,GY,6.0,-58.3,71.04,99,89,1.9,overcast clouds
61,Hilo,US,19.7297,-155.09,73.27,86,100,6.91,overcast clouds
62,Yulara,AU,-25.2406,130.9889,91.35,16,100,3.47,overcast clouds
63,Caraguatatuba,BR,-23.6338,-45.4899,74.66,97,100,4.18,light rain
64,Uvira,CD,-3.4067,29.1458,75.56,80,91,3.62,light rain
65,Lebu,CL,-37.6167,-73.65,55.8,88,0,17.56,clear sky
66,Castro,BR,-24.7911,-50.0119,65.8,95,100,6.02,moderate rain
67,Ixtahuacan,GT,15.4167,-91.7667,57.38,95,100,3.44,overcast clouds
68,Karla,EE,59.3723,24.9275,20.57,88,40,4.61,scattered clouds
69,Faya,SA,18.3851,42.4509,62.71,43,0,3.15,clear sky
70,Cayenne,GF,4.9333,-52.3333,73.44,94,40,0.0,scattered clouds
71,Sudzha,RU,51.1976,35.2726,32.41,79,100,2.42,overcast clouds
72,Ribeira Grande,PT,38.5167,-28.7,61.2,82,40,24.16,light rain
73,Avera,US,33.194,-82.5271,51.31,72,100,9.53,overcast clouds
74,Bara,NG,10.3744,10.7288,70.81,21,17,6.64,few clouds
75,Vila Do Maio,CV,15.1333,-23.2167,75.99,79,5,12.48,clear sky
76,Te Anau,NZ,-45.4167,167.7167,61.16,57,100,5.41,overcast clouds
77,Hofn,IS,64.2539,-15.2082,28.92,66,0,16.87,clear sky
78,Bluff,NZ,-46.6,168.3333,63.81,81,100,6.26,overcast clouds
79,Takoradi,GH,4.8845,-1.7554,77.95,85,0,4.88,light rain
80,Mantua,IT,45.1667,10.7833,34.99,92,100,1.99,overcast clouds
81,Bure,ET,10.7,37.0667,71.28,42,2,2.19,clear sky
82,Bestobe,KZ,52.4994,73.0975,22.35,81,100,13.44,overcast clouds
