City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Azul,AR,2022-12-07 20:52:56,-36.777,-59.8585,97.57,16,67,18.14
1,Albany,US,2022-12-07 20:52:28,42.6001,-73.9662,57.72,91,100,1.01
2,Puerto Ayora,EC,2022-12-07 20:52:56,-0.7393,-90.3518,82.36,89,8,7.0
3,Bengkulu,ID,2022-12-07 20:49:28,-3.8004,102.2655,74.82,90,99,4.88
4,Panama City,PA,2022-12-07 20:50:00,8.9936,-79.5197,87.13,55,20,16.11
5,Punta Arenas,CL,2022-12-07 20:49:28,-53.15,-70.9167,53.62,49,0,17.27
6,Progreso,MX,2022-12-07 20:50:12,21.2833,-89.6667,87.12,73,1,16.44
7,Ushuaia,AR,2022-12-07 20:52:57,-54.8,-68.3,51.46,43,40,24.16
8,Cayenne,GF,2022-12-07 20:52:58,4.9333,-52.3333,82.44,74,0,10.36
9,Turkan,AZ,2022-12-07 20:52:58,40.3639,50.215,42.98,61,100,2.3
10,Khatanga,RU,2022-12-07 20:51:19,71.9667,102.5,-28.26,89,6,12.06
11,Upernavik,GL,2022-12-07 20:52:59,72.7868,-56.1549,27.99,62,100,21.83
12,Cockburn Town,TC,2022-12-07 20:52:59,21.4612,-71.1419,78.26,55,11,19.01
13,Chokurdakh,RU,2022-12-07 20:52:59,70.6333,147.9167,-10.12,98,100,7.58
14,New Norfolk,AU,2022-12-07 20:53:00,-42.7826,147.0587,49.5,65,100,4.0
15,Avarua,CK,2022-12-07 20:50:55,-21.2078,-159.775,80.65,78,20,12.66
16,Abaete,BR,2022-12-07 20:52:09,-19.16,-45.4458,74.03,83,85,4.41
17,Rikitea,PF,2022-12-07 20:53:00,-23.1203,-134.9692,75.38,79,20,19.57
18,Hermanus,ZA,2022-12-07 20:53:01,-34.4187,19.2345,60.8,87,40,6.4
19,Busselton,AU,2022-12-07 20:48:07,-33.65,115.3333,56.97,86,85,6.58
20,Maarianhamina,AX,2022-12-07 20:53:01,60.0973,19.9348,24.66,93,0,4.61
21,Jamestown,US,2022-12-07 20:50:44,42.097,-79.2353,44.24,77,100,3.0
22,Tiksi,RU,2022-12-07 20:53:02,71.6872,128.8694,-9.2,100,100,9.73
23,Faanui,PF,2022-12-07 20:53:02,-16.4833,-151.75,81.0,74,100,21.05
24,Mataura,NZ,2022-12-07 20:50:35,-46.1927,168.8643,63.48,59,100,4.99
25,Anadyr,RU,2022-12-07 20:53:03,64.75,177.4833,0.1,71,0,4.47
26,Solnechnyy,RU,2022-12-07 20:53:03,50.7214,136.6319,-2.94,78,4,4.54
27,Lompoc,US,2022-12-07 20:51:18,34.6391,-120.4579,64.02,64,0,4.0
28,Portland,US,2022-12-07 20:52:56,45.5234,-122.6762,44.28,82,100,8.05
29,Otjimbingwe,NA,2022-12-07 20:53:04,-22.35,16.1333,67.86,37,0,4.52
30,Georgetown,MY,2022-12-07 20:53:04,5.4112,100.3354,80.53,91,20,5.75
31,Butaritari,KI,2022-12-07 20:53:05,3.0707,172.7902,80.13,81,96,12.12
32,Mar Del Plata,AR,2022-12-07 20:51:57,-38.0023,-57.5575,90.82,84,0,21.0
